;lemmantized_reviews
321;['read', 'initial', 'review', 'little', 'dubious', 'arrive', 'however', 'pleasantly', 'surprise', 'site', 'set', 'beautiful', 'woodland', 'plenty', 'activity', 'never', 'bore', 'villa', 'clean', 'spacious', 'well', 'equip', 'would', 'recommend', 'shop', 'hypermarket', '8km', 'away', 'food', 'selection', 'cheap', 'price', 'majority', 'staff', 'speak', 'little', 'english', 'help', 'rusty', 'french', 'part', 'within', 'dome', 'little', 'tire', 'need', 'updatingmodernizing', 'minor', 'issue', 'way', 'spoil', 'break', 'wifi', 'nice', 'family', 'interact', 'bar', 'amp', 'food', 'price', 'little', 'expensive', 'expect', 'holiday', 'village', 'overall', 'really', 'good', 'time', 'thing', 'family']
322;['excellent', 'stay', 'high', 'quality', 'facility', 'service', 'activity', 'two', 'negative', 'point', 'last', 'minute', 'cancellation', 'quad', 'activity', 'insufficient', 'quad', 'inadequate', 'sign', 'post', 'park']
323;['book', 'night', 'stay', 'center', 'parcs', 'le', 'bois', 'reasonable', 'child', 'tight', 'budget', 'yr', 'ago', 'little', 'disappoint', 'comfort', 'villa', 'refurbish', 'couldnt', 'fault', 'break', 'table', 'fix', 'within', '40mins', 'issue', 'get', 'free', 'topping', 'book', 'amount', 'free', 'spa', 'session', 'amp', 'free', 'high', 'rope', 'activity', 'girl', 'amp', 'love', 'staff', 'helpful', '3yr', 'old', 'struggle', 'first', 'encourage', 'build', 'confidence', 'end', 'grin', 'widely', 'cry', 'back', 'also', 'lucky', 'enough', 'arrive', 'grus', 'circus', 'residence', 'chateau', 'free', 'ticket', 'amaze', 'night', 'great', 'circus', 'kid', 'happy', 'wonderful', 'holiday', 'budget', 'center', 'parcs', 'thank']
324;['love', 'atmosphere', 'le', 'bois', 'different', 'center', 'parcswe', 'first', 'start', 'visit', 'year', 'ago', 'return', 'childrens', 'child', 'great', 'family', 'experience', 'one', 'intend', 'repeat']
325;['child', 'certaily', 'wonderful', 'time', 'centre', 'parc', 'find', 'everything', 'terribly', 'overprice', 'keep', 'kid', 'happy', 'sign', 'activity', 'expensive', 'felt', 'juqst', 'plkace', 'try', 'get', 'much', 'money', 'could', 'simple', 'fact', 'order', 'reserve', 'phone', 'even', 'need', 'call', 'pay', 'end', 'organise', 'short', 'holiday', 'tight', 'budget', 'become', 'spend', 'overdraft', 'bank', 'everything', 'much', 'expensive', 'choice', 'pay']
326;['pleasant', 'stay', 'recent', 'stay', 'le', 'boisfrancs', 'son', 'autistic', 'love', 'water', 'center', 'parcs', 'ideal', 'holiday', 'come', 'past', 'year', 'several', 'europe', 'le', 'bois', 'franc', 'favourite', 'especially', 'since', 'facility', 'good', 'aqua', 'mondo', 'water', 'playhouse', 'son', 'love', 'staff', 'great']
327;['bring', 'extra', 'utensil', 'kitchen', 'cook', 'unit', 'miss', 'item', 'bring', 'cone', 'shape', 'coffee', 'filter', 'extra', 'toilet', 'paper', 'tissue', 'bath', 'room', 'mat', 'liquid', 'dish', 'soap', 'none', 'provide', 'room', 'wifi', 'make', 'thing', 'difficult', 'wifi', 'purchase', 'hour', 'time', 'convenient', 'place', 'stay', 'utilize', 'facility', 'full', 'base', 'place', 'see', 'area', 'overall', 'good', 'stay']
328;['great', 'time', 'centre', 'parcs', 'adult', 'amp', 'kid', 'amp', 'dont', 'bother', 'take', 'bike', 'hire', 'bike', 'fine', 'couldnt', 'believe', 'much', 'swim', 'area', 'main', 'pool', 'lazy', 'river', 'crazy', 'rapid', 'lot', 'diff', 'size', 'slide', 'massive', 'kid', 'climb', 'area', 'easily', 'spend', '45', 'hour', 'safe', 'cycle', 'around']
329;['nice', 'family', 'holiday', 'safe', 'child', 'lot', 'activity', 'available', 'note', 'apart', 'pool', 'area', 'activity', 'pay', 'long', 'line', 'make', 'reservation', 'though', 'peaceful', 'surround']
330;['family', 'holiday', 'plus', 'month', 'old', 'baby', 'large', 'range', 'activity', 'restaurant', 'site', 'safe', 'woodland', 'set', 'overall', 'good', 'lot', 'thing', 'surround', 'area', 'far', 'paris']
331;['spend', 'week', 'new', 'year', 'adult', 'month', 'old', 'baby', 'cottage', 'dishwasher', 'break', 'tell', 'reception', 'replace', 'next', 'day', 'excellent', 'service', 'lot', 'activity', 'restaurant', 'revisit', 'soon']
332;['great', 'first', 'stay', 'parc', 'early', '2013', 'go', 'back', 'second', 'end', 'july', '2013', 'disappoint', 'see', 'much', 'place', 'slip', 'cottage', 'fairly', 'beat', 'lot', 'bug', 'italian', 'restaurant', 'terrible', 'strange', 'month', 'fairly', 'good', 'unfortunately', 'three', 'day', 'wife', 'get', 'food', 'poison', 'jungle', 'circus', 'restaurant', 'pregnant', 'doctor', 'call', 'say', 'need', 'bring', 'hospital', 'basically', 'drive', 'around', 'night', 'look', 'hospital', 'whole', 'experience', 'pretty', 'much', 'ruin', 'holiday', 'center', 'parcs', 'didnt', 'make', 'effort', 'anything', 'manager', 'site', 'give', 'pitch', 'hygiene', 'number', 'send', 'register', 'letter', 'head', 'office', 'explain', 'happen', 'response', 'say', 'lot', 'company']
333;['overall', 'great', 'fantastic', 'leave', 'alone', 'enjoy', 'water', 'kid', 'rather', 'reprimand', 'every', 'turn', 'kid', 'water', 'area', 'particular', 'great', 'downside', 'change', 'room', 'small', 'dvd', 'cottage', 'supermarket', 'poor', 'poor', 'restaurantseuro', 'expensive', 'worth', 'trip', 'france', 'water', 'area', 'lovely', 'kid']
334;['bad', 'enjoy', 'holiday', 'however', 'facility', 'tire', 'need', 'considerable', 'maintenance', 'family', 'tend', 'eat', 'day', 'unfortunately', 'one', 'restaurant', 'close', 'wasnt', 'much', 'choice', 'menu']
335;['good', 'accommodation', 'peaceful', 'surround', 'expensive', 'restaurant', 'supermarket', 'sadly', 'get', 'ear', 'infection', 'cough', 'cold', 'previous', 'visit', 'english', 'language', 'information', 'lack', 'felt', 'place', 'really', 'interest', 'inform', 'nationality']
336;['center', 'parcs', 'whole', 'nice', 'place', 'holiday', 'surround', 'good', 'quiet', 'peaceful', 'activity', 'could', 'good', 'like', 'crazy', 'golf', 'wasnt', 'well', 'keep', 'latout', 'good']
337;['beware', 'car', 'van', 'lorry', 'supposedly', 'quot', 'carfree', 'quot', 'village', 'top', 'separate', 'cyclepaths', 'footpath', 'rat', 'also', 'see', 'around', 'cottage', 'lack', 'cleanliness', 'general', 'apart', 'small', 'playground', 'swim', 'pool', 'isnt', 'much', 'else', 'way', 'entertainmentactivities']
338;['second', 'visit', 'le', 'bois', 'franc', 'sixth', 'continental', 'center', 'parcs', 'good', 'ever', 'stay', 'october', 'half', 'term', 'premium', 'mid', 'range', 'chalet', 'pleasant', 'clean', 'chalet', 'good', 'kitchen', 'facility', 'comfy', 'bed', 'dont', 'forget', 'use', 'free', 'quot', 'topping', 'quot', 'get', 'book', 'parcours', 'aventure', 'high', 'wire', 'assault', 'course', 'great', 'fun']
339;['still', 'amaze', 'people', 'expect', 'holiday', 'honest', 'amaze', 'place', 'lot', 'go', 'june', '2013', 'incredible', 'time', 'son', 'four', 'find', 'load', 'go', 'swim', 'everyday', 'horseriding', 'cyclying', 'play', 'park', 'ride', 'little', 'pet', 'farm', 'go', 'day', 'trip', 'local', 'town', 'holiday', 'get', 'put', 'never', 'bore', 'yes', 'place', 'little', 'rustic', 'accomadation', 'quite', 'perfect', 'never', 'spoil', 'holiday', 'one', 'bite', 'offer', 'expectional', 'half', 'price', 'thing', 'real', 'bargin', 'parc', 'year', 'show', 'age', 'little', 'thats', 'half', 'price', 'parcs', 'great', 'time', 'everyone', 'visit']
340;['generally', 'nice', 'holiday', 'resort', 'pool', 'good', 'fun', 'activity', 'available', 'price', 'however', 'seem', 'busy', 'didnt', 'need', 'business', 'make', 'price', 'affordable', 'typical', 'brit', 'language', 'skill', 'poor', 'good', 'idea', 'basic', 'level', 'french', 'although', 'staff', 'could', 'speak', 'english', 'also', 'often', 'basic', 'therefore', 'often', 'difficult', 'communicate', 'otherwise', 'take', 'good', 'phrase', 'book']
341;['first', 'visit', 'centreparc', 'little', 'concern', 'may', 'turn', 'like', 'trip', 'butlins', 'europe', 'however', 'busy', 'within', 'plaza', 'area', 'quiet', 'soon', 'leave', 'area', 'vip', 'villa', 'midweek', 'overlook', 'lake', 'resident', 'cat', 'clean', 'spacious', 'dvd', 'player', 'work', 'disc', 'real', 'bonus', 'end', 'busy', 'daythe', 'aquamundo', 'fab', 'spend', 'time', 'try', 'high', 'wire', 'great', 'roll', 'ball', 'great', 'archery', 'good', 'badminton', 'lot', 'fun', 'pedalos', 'waste', 'time', 'money', 'great', 'trip', 'enjoy', 'everyone']
342;['go', 'week', 'late', 'august', '2013', 'large', 'group', 'adult', 'child', 'split', 'across', 'neighbour', 'bed', 'comfort', 'cottage', 'pack', 'holiday', 'really', 'disappoint', 'lack', 'information', 'website', 'regard', 'cottage', 'contain', 'kitchen', 'list', 'dishwasher', 'coffee', 'maker', 'microwave', 'read', 'review', 'worry', 'werent', 'even', 'go', 'kettle', 'worry', 'unfounded', 'however', 'arrival', 'find', 'kettle', 'toaster', 'coffee', 'maker', 'microwave', 'grill', 'gas', 'hob', 'good', 'size', 'fridge', 'freezer', 'compartment', 'dishwasher', 'oven', 'manage', 'fine', 'cook', 'even', 'cottage', 'gripe', 'lack', 'barbeque', 'ask', 'hire', 'one', 'bring', 'george', 'foreman', 'style', 'electric', 'grill', 'mind', 'manage', 'buy', 'one', 'nearby', 'town', 'accommodation', 'nice', 'bed', 'extremely', 'comfortable', 'bed', 'linen', 'provide', 'even', 'though', 'tell', 'bring', 'cottage', 'clean', 'immaculate', 'sofa', 'bed', 'need', 'sweep', 'kitchen', 'bathroom', 'clean', 'find', 'acceptable', 'overall', 'dustpan', 'brush', 'vacuum', 'clean', 'need', 'floor', 'cottage', 'get', 'filthy', 'really', 'quicklya', 'review', 'complain', 'lack', 'english', 'speak', 'staff', 'never', 'find', 'much', 'problem', 'manage', 'basic', 'french', 'require', 'negative', 'review', 'seem', 'relation', 'expensive', 'premium', 'vip', 'accommodation', 'maybe', 'expectation', 'high', 'choose', 'basic', 'accommodation', 'pleasantly', 'surprise', 'lot', 'adult', 'child', 'hire', 'bike', 'week', 'really', 'enjoy', 'get', 'around', 'two', 'wheel', 'lot', 'activity', 'child', 'especially', 'aqua', 'mundo', 'indoor', 'pool', 'fantastic', 'play', 'area', 'slide', 'young', 'child', 'well', 'thrill', 'water', 'slide', 'rapid', 'old', 'child', 'adult', 'also', 'take', 'child', 'pony', 'trek', 'love', 'adult', 'old', 'child', 'tree', 'top', 'adventure', 'good', 'fun', 'toothe', 'nearby', 'town', 'pretty', 'worth', 'visit', 'intermarche', 'supermarket', 'excellent', 'much', 'cheap', 'shop', 'inside', 'center', 'parcs', 'overall', 'fabulous', 'holiday', 'could', 'easily', 'spend', 'week']
343;['great', 'holiday', 'pleasant', 'stay', 'comfort', 'lodge', 'clean', 'amp', 'tidy', 'plenty', 'thing', 'pleasant', 'staff', 'able', 'speak', 'good', 'level', 'english', 'also', 'cheap', 'travel', 'france', 'amp', 'stay', 'centre', 'parcs']
344;['dreadful', 'place', 'tire', 'run', 'disappoint', 'roof', 'leak', 'sport', 'hall', 'huge', 'puddle', 'water', 'leave', 'unattended', 'plaster', 'fall', 'wall', 'squash', 'courtstennis', 'badmington', 'sport', 'hall', 'like', 'prison', 'chip', 'concrete', 'floor', 'top', 'range', 'vip', 'cottage', 'nothing', 'shack']
345;['book', 'vip', 'cottage', 'soon', 'walk', 'smell', 'stale', 'stagnate', 'water', 'strong', 'use', 'dishwasher', 'first', 'time', 'breakfast', 'return', 'lunchtime', 'cottage', 'flood', 'report', 'time', 'staff', 'reception', 'eventually', 'maid', 'turn', 'dishcloth', 'downgrade', 'bed', 'premium', 'vip', 'leave', 'give', 'u20ac100', 'compensation', 'use', 'min', 'activity', 'kid', 'pool', 'fantastic', 'great', 'paris', 'eurodisney']
346;['good', 'thing', 'high', 'rope', 'activity', 'course', 'badmintonsquashtennis', 'staff', 'exceptional', 'location', 'normandy', 'area', 'real', 'beauty', 'interest', 'firstclass', 'local', 'restaurant', 'nearby', 'town', 'villagesthe', 'notsogood', 'thing', 'reason', 'people', 'think', 'drive', 'car', 'park', 'nonentry', 'day', 'dont', 'seem', 'penalise', 'activity', 'book', 'system', 'go', 'quot', 'quot', 'number', 'successive', 'day', 'queue', 'book', 'anything', 'ridiculous', 'attempt', 'open', 'informationbooking', 'counter', 'early', 'stay', 'open', 'late', 'proper', 'oven', 'cottage', 'pain', 'centerparcs', 'bike', 'many', 'problem', 'previously', 'experience', 'park']
347;['stay', 'large', 'group', 'friend', 'adjacent', 'cottage', 'consist', 'adult', 'child', 'age', 'first', 'experience', 'centerparcs', 'expensive', 'school', 'holiday', 'able', 'afford', 'gather', 'cheap', 'europe', 'really', 'like', 'wooded', 'location', 'suit', 'reunion', 'travel', 'anywhere', 'else', 'long', 'weekend', 'cottage', 'comfortable', 'light', 'airy', 'well', 'equip', 'pool', 'amaze', 'although', 'rapid', 'quite', 'scary', 'something', 'everyone', 'pony', 'promenade', 'little', 'car', 'pedallos', 'segway', 'play', 'park', 'walk', 'etc', 'would', 'recommend', 'certainly', 'investigate', 'europe', 'centerparcs']
348;['dont', 'speak', 'french', 'go', 'struggle', 'nearly', 'everything', 'print', 'french', 'except', 'restaurant', 'menu', 'hotel', 'breakfast', 'service', 'appal', 'run', 'hot', 'food', '930', 'amgreat', 'facility', 'although', 'get', 'bite', 'tire', 'constant', 'use', 'bike', 'aquadome', 'activity', 'well', 'run', 'staff', 'helpful', 'friendly']
349;['brilliant', 'swim', 'pool', 'lot', 'rid', 'village', 'good', 'bite', 'tire', 'cottage', 'comfortable', 'floor', 'dirty', 'restaurant', 'open', 'short', 'hour', 'expensive', 'prepare', 'self', 'cater', 'cooker', 'cottage', 'hob', 'microwave', 'supermarket', 'good', 'cheap', 'trip', 'long', 'time']
350;['lovely', 'relax', 'love', 'duckling', 'one', 'two', 'friendly', 'cat', 'good', 'facility', 'restaurant', 'little', 'expensive', 'great', 'kitchen', 'facility', 'staff', 'level', 'english', 'vary', 'friendly', 'helpful', 'love', 'high', 'wire', 'adventure', 'zip', 'wire', 'lake']
351;['confuse', 'timewasting', 'incomplete', 'website', 'link', 'foreign', 'language', 'part', 'large', 'party', 'mostly', 'cottage', 'stay', 'hotel', 'tire', 'poorly', 'maintain', 'activity', 'restaurant', 'poor', 'value', 'open', 'hour', 'variance', 'time', 'advertise', 'italian', 'restaurant', 'add', 'rude', 'staff', 'dissatisfaction', 'supposadly', 'vehicle', 'free', 'yet', 'necessary', 'service', 'vehicle', 'speed', 'immunity', 'long', 'queue', 'book', 'activity', 'bother', 'signage', 'whist', 'abundant', 'confuse', 'often', 'inaccurate', 'crowd', 'bike', 'whose', 'rider', 'inexperienced', 'careless', 'reckless', 'official', 'supervision', 'certainly', 'child', 'friendly', 'wifi', 'anywher', 'except', 'dome', 'slow', '02', 'mgb', 'expensive', 'quot', 'best', 'quot', 'value', 'euro', 'month', 'crass', 'questionaire', 'return', 'regret', 'dissatisfaction', 'welcome', 'back', 'thank']
352;['enjoyable', 'summer', 'break', 'family', 'centerparcs', 'many', 'time', 'various', 'location', 'particularly', 'enjoy', 'aquamundo', 'lot', 'keep', 'kid', 'occupy', 'cottage', 'location', 'two', 'minute', 'walk', 'dome', 'either', 'direction', 'really', 'easy', 'get', 'child', 'play', 'area', 'pleasant', 'dome', 'also', 'nice', 'inside', 'restaurant', 'overprice', 'eat', 'one', 'even', 'price', 'pancake', 'house', 'reasonable', 'nice', 'food', 'cottage', 'clean', 'good', 'repair', 'however', 'due', 'length', 'stay', 'one', 'whole', 'week', 'amount', 'wet', 'swim', 'clothe', 'towel', 'always', 'dry', 'find', 'cottage', 'end', 'feel', 'quite', 'sweaty', 'damp', 'time', 'could', 'really', 'one', 'midweek', 'clean', 'change', 'bed', 'premium', 'cottage', 'vip', 'include', 'package', 'think', 'stay', 'long', 'midweek', 'whole', 'pleasant', 'stay']
353;['really', 'competitive', 'price', 'top', 'tier', 'villa', 'stay', 'week', 'allin', 'include', 'ferry', 'cost', 'le', 'long', 'weekend', 'around', '12', 'price', 'trip', 'canary', 'muster', 'together', 'little', 'french', 'good', 'however', 'staff', 'speak', 'good', 'enough', 'english', 'issue', 'year', 'old', 'love', 'swim', 'bike', 'bowl', 'pony', 'rid', 'great', 'facility', 'lot', 'restaurant', 'tree', 'nature', 'go']
354;['always', 'good', 'place', 'holiday', 'friend', 'lot', 'especially', 'amaze', 'swim', 'pool', 'go', 'big', 'group', 'adult', 'child', 'everyone', 'enjoy', 'stay', 'centre', 'parcs', 'europe', 'good', 'value', 'counterpart']
355;['website', 'give', 'detail', 'train', 'etc', 'get', 'train', 'paris', 'walk', 'reception', 'luggage', 'assistance', 'give', 'even', 'ask', 'year', 'old', 'guest', 'bite', 'rundown', 'garden', 'unit', 'general']
356;['apart', 'avoid', 'pasta', 'pizza', 'place', 'cottage', 'facility', 'bite', 'disappointment', 'good', 'experience', 'staff', 'pleasant', 'facility', 'impressive', 'enjoy']
357;['site', 'great', 'potential', 'let', 'run', 'property', 'mine', 'refurbish', 'yet', 'skirt', 'come', 'wall', 'damp', 'car', 'onsite', 'allow', 'amp', 'expensive', 'onsitethis', 'nice', 'place', 'prepare', 'heavily', 'inflate', 'price', 'people', 'use', 'car', 'onsite', 'happen', 'weekend', 'weekend', 'threat', 'tow', 'vehicle', 'follow', 'people', 'work', 'great', 'cycle', 'around', 'level', 'site', 'lot', 'activity', 'u00a323', 'game', 'crazy', 'golf', 'adult', 'child', 'activity', 'expensive']
358;['fantastic', 'holiday', 'participate', 'several', 'activity', 'however', 'arrival', 'accommodation', 'overwhelm', 'smell', 'cigarette', 'think', 'previous', 'family', 'must', 'constantly', 'smoke', 'inside', 'cottage', 'take', 'day', 'reduce', 'smell', 'felt', 'annoy', 'pay', 'extra', 'money', 'stay', 'premium', 'plus', 'recently', 'renovate', 'cottage', 'smelt', 'like', 'ashtray', 'aside', 'great', 'time', 'staff', 'helpful', 'weather', 'fine', 'find', 'eat', 'quite', 'pricey', 'especially', 'drink', 'u20ac540', 'pint', 'lager', 'even', 'meal', 'exceed', 'u20ac100', 'also', 'great', 'spot', 'venture', 'disney', 'day', 'two', 'hour', 'drive', 'easy']
359;['relax', 'mid', 'week', 'say', 'mon', 'fri', 'impress', 'overall', 'quality', 'vip', 'cottage', 'though', 'irritation', 'dvd', 'didnt', 'work', 'outside', 'barbecue', 'amp', 'wifi', 'available', 'unless', 'prepare', 'pay', 'orange', 'enjoyable', 'trip', 'standard', 'center', 'parcs', 'proposition', 'good', 'family', 'cheap', 'especially', 'extra', 'activity']
360;['change', 'try', 'center', 'parcs', 'france', 'alternative', 'one', 'england', 'belgium', 'holland', 'stay', 'enjoy', 'past', 'aware', 'commercial', 'van', 'speed', 'see', 'video', 'http', 'wwwyoutubecomwatch', 'v70omhx3gwzs', 'amp', 'featureyoutube', 'notice', 'sound', 'driver', 'see', 'slam', 'break', 'personally', 'visit', 'center', 'parcs', 'enjoy', 'vehicle', 'free', 'environment', 'kid', 'family', 'safely', 'cycle', 'fear', 'car', 'van', 'case', 'think', 'carefully', 'expect', 'choose', 'centre', 'parcs', 'also', 'see', 'picture', 'clamp', 'car', 'outside', 'lodge', 'whole', 'duration', 'stay']
